smiles,Taste
CC1=CC[C@@H]([C@@H](C)[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@](C)(C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)OC1=O,Sweet
CC1=CC[C@@H]([C@@H](C)[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@@](C)(C(=O)O)[C@@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)OC1=O,Sweet
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2OC[C@](O)(CO)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,Sweet
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,Sweet
CC1=C(CCc2ccoc2)[C@@]2(C)CC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)[C@@H]2CC1,Sweet
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C)CO[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,Sweet
CC(=O)OC[C@@H]1O[C@@H](OC2CC[C@]3(C)C4C[C@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@H](O)[C@H]5O)C5C([C@]6(C)CCC(C(C)(C)O)O6)CC[C@]5(C)C4C(C)CC3C2(C)C)[C@H](O)[C@H]1O,Sweet
C/C=C(\C)C(=O)OCC,Sweet
C[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1OS(=O)(=O)O,Sweet
CCCCCCCC1CCC(=O)O1,Sweet
C[C@H](CC[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C,Sweet
CCNC(=O)c1c(C[N+](=O)[O-])sc(-c2ccnc(N)c2)c1C(=O)Nc1ccc(Cl)cc1,Sweet
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,Sweet
C[C@H](C1CC[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O1)C1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C,Sweet
CCCCCCCC(=O)CCc1ccc(O)c(OC)c1,Sweet
CC1(C(=O)O)C=C2C3CCC4C5(C=O)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)CC1,Sweet
CC1(C(=O)O)C=C2C3CCC4C5(CO)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)CC1,Sweet
CC1(C(=O)O)C=C2C3CCC4C5(C=O)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)CC1,Sweet
C[C@H]1CC[C@H]([C@@H](C)[C@H]2CC[C@@H]3C4=CC(=O)[C@@H]5C[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@@H]4CC[C@@]32C)O[C@@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,Sweet
CC1CCC(C(C)C2CCC3C4=CC(=O)C5CC(OC6OC(CO)C(O)C(O)C6O)CCC5(C)C4CCC32C)OC1OC1OC(C)C(O)C(O)C1O,Sweet
COC1C(O)C(C)OC(OC2OC(C(C)C3CCC4C5=CC(=O)C6CC(OC7OC(CO)C(O)C(O)C7O)CCC6(C)C5CCC43C)CCC2C)C1O,Sweet
C=C(C)[C@@H]1CC[C@]2(C)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@@]1(C)CCC(=O)O,Sweet
C=C(C)[C@@H]1CC[C@]2(C)[C@H](C[C@@H](O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@@]1(C)CCC(=O)O,Sweet
C=C1C[C@@]23CCC4C(C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,Sweet
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,Sweet
C/C(=C/CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Sweet
Oc1ccc([C@H]2Oc3c(c(O)cc(O)c3[C@H]3c4c(O)cc5c(c4O[C@H](c4ccc(O)cc4)[C@@H]3O)[C@@H]3c4c(O)cc(O)cc4O[C@](c4ccc(O)cc4)(O5)C3O)C[C@@H]2O)cc1,Sweet
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,Sweet
OC[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO,Sweet
CC(=O)O[C@H]1[C@H](O[C@@]2(C)C[C@H](C=C(C)C)O[C@]34C[C@]5(CO3)[C@H](CC[C@@H]3[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@]35C)[C@@H]24)O[C@@H](C)[C@H](O)[C@H]1OC(C)=O,Sweet
O=Cc1ccccc1,Bitter
Oc1ccccc1O,Bitter
O=c1ccc2ccccc2o1,Bitter
O=C(O)c1ccccc1O,Bitter
O=C(O)c1cc(O)c(O)c(O)c1,Bitter
CN(CC(=O)O)C(=N)N,Bitter
CN1CC(=O)N=C1N,Bitter
CS(C)=O,Bitter
C#N,Bitter
OO,Bitter
O=c1nc[nH]c2nc[nH]c12,Bitter
c1c[nH]cn1,Bitter
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,Bitter
O=CCc1ccccc1,Bitter
c1cn[nH]c1,Bitter
O=S=O,Bitter
NCCS(=O)(=O)O,Bitter
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Bitter
NC(N)=O,Bitter
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,Bitter
O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21,Bitter
CC(=O)Nc1ccc(O)cc1,Bitter
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Bitter
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,Bitter
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,Bitter
COc1ccc(-c2cc(=S)ss2)cc1,Bitter
Cc1cc(=O)n(-c2ccccc2)n1C,Bitter
COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,Bitter
CC(=O)Oc1ccccc1C(=O)O,Bitter
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,Bitter
CCC1(CC)C(=O)NC(=O)NC1=O,Bitter
NC(=O)c1ccccc1,Bitter
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,Bitter
COc1c2ccoc2cc2oc(=O)ccc12,Bitter
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,Bitter
O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O,Bitter
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Bitter
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,Bitter
OC(O)C(Cl)(Cl)Cl,Bitter
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,Bitter
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,Bitter
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Bitter
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,Bitter
Cc1c(O)c(=O)ccn1C,Bitter
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Bitter
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Bitter
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,Bitter
CN(C)CCOC(c1ccccc1)c1ccccc1,Bitter
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,Bitter
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,Bitter
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,Bitter
COc1cc(C)nc(-n2nc(C)cc2OC)n1,Bitter
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,Bitter
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,Bitter
COc1ccccc1OCC(O)CO,Bitter
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Bitter
CCN(CC)CC(=O)Nc1c(C)cccc1C,Bitter
CC(C)O,Bitter
Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,Bitter
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,Bitter
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,Bitter
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Bitter
Cc1cccc(Nc2ccccc2C(=O)O)c1C,Bitter
Cc1ccccc1OCC(O)CO,Bitter
CCCC(C)(COC(N)=O)COC(N)=O,Bitter
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,Bitter
COc1c2occc2cc2ccc(=O)oc12,Bitter
CCC1(CC)C(=O)NCC(C)C1=O,Bitter
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Bitter
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,Bitter
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,Bitter
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Bitter
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,Bitter
Cc1ccccc1C(OCCN(C)C)c1ccccc1,Bitter
CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,Bitter
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,Bitter
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,Bitter
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,Bitter
CCOc1ccc(NC(C)=O)cc1,Bitter
NC(=O)OCCCc1ccccc1,Bitter
NC(N)=NC(N)=Nc1ccccc1,Bitter
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Bitter
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,Bitter
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,Bitter
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,Bitter
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,Bitter
[Cl-].[K+],Bitter
CCN(CC)CCNC(=O)c1ccc(N)cc1,Bitter
CC(C)NCC(O)COc1cccc2ccccc12,Bitter
CCCOC(=O)c1cc(O)c(O)c(O)c1,Bitter
O=C1NS(=O)(=O)c2ccccc21,Bitter
NC(=O)c1ccccc1O,Bitter
O=C(Oc1ccccc1C(=O)O)c1ccccc1O,Bitter
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,Bitter
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,Bitter
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,Bitter
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,Bitter
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Bitter
Cn1cnc2c1c(=O)[nH]c(=O)n2C,Bitter
CCN(CC)C(=O)c1cccnc1,Bitter
CCN(CC)c1cc(C)nc2ncnn12,Bitter
CC(=O)OCC(COC(C)=O)OC(C)=O,Bitter
CN1C(=O)OC(C)(C)C1=O,Bitter
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,Bitter
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,Bitter
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Bitter
CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl,Bitter
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,Bitter
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,Bitter
C[C@H](N)Cc1ccccc1.C[C@H](N)Cc1ccccc1.O=S(=O)(O)O,Bitter
COc1ccc(NC(C)=O)cc1,Bitter
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,Bitter
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,Bitter
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,Bitter
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,Bitter
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21.[Br-],Bitter
C1CCc2nnnn2CC1,Bitter
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Bitter
NCCCC[C@H](N)C(=O)O,Bitter
C=CCN=C=S,Bitter
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Bitter
O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Bitter
Cl.c1ccc(CC2=NCCN2)cc1,Bitter
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,Bitter
OCCc1ccccc1,Bitter
CC(N)Cc1ccccc1.CC(N)Cc1ccccc1.O=S(=O)(O)O,Bitter
N[C@@H](Cc1ccc(O)cc1)C(=O)O,Bitter
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Bitter
CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1,Bitter
CC(C)C[C@H](N)C(=O)O,Bitter
N[C@@H](Cc1ccccc1)C(=O)O,Bitter
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,Bitter
C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1,Bitter
C[N+](C)(C)CCO.[Cl-],Bitter
N[C@@H](Cc1cnc[nH]1)C(=O)O,Bitter
O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21.[Na+].[Na+],Bitter
CC(C)[C@H](N)C(=O)O,Bitter
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Bitter
CC[C@H](C)[C@H](N)C(=O)O,Bitter
NC(N)=NCCC[C@H](N)C(=O)O,Bitter
CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,Bitter
C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,Bitter
O=C(O)C(O)(c1ccccc1)c1ccccc1,Bitter
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,Bitter
CCC1(CC)C(=O)CCNC1=O,Bitter
CCCCC1(CC)C(=O)NC(=O)NC1=O,Bitter
CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,Bitter
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,Bitter
CC[N+](CC)(CC)CC.[OH-],Bitter
COC(C)=O,Bitter
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,Bitter
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C,Bitter
