Name	Smiles	Taste	Reference
ADE	C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	VirtuousUmami
EDF	N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	Umami	VirtuousUmami
VDR	CC(C)[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	VirtuousUmami
DDDD	N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	Umami	VirtuousUmami
TLRRCM	CSCC[C@H](NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)O	Umami	VirtuousUmami
VEL	CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)C(C)C)C(=O)O	Umami	VirtuousUmami
STMLLESER	CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CO)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	VirtuousUmami
PAQ	C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CCC(N)=O)C(=O)O	Umami	VirtuousUmami
GGNP	NCC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)O	Umami	VirtuousUmami
DGG	N[C@@H](CC(=O)O)C(=O)NCC(=O)NCC(=O)O	Umami	VirtuousUmami
DEL	CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)O	Umami	VirtuousUmami
RL	CC(C)C[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O	Umami	TastePeptidesDB
NY	NC(=O)C[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	TastePeptidesDB
EA	C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
PAA	C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1)C(=O)O	Umami	TastePeptidesDB
GGY	NCC(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	TastePeptidesDB
VAV	CC(C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)C(C)C	Umami	TastePeptidesDB
LV	CC(C)C[C@H](N)C(=O)N[C@H](C(=O)O)C(C)C	Umami	TastePeptidesDB
LVG	CC(C)C[C@H](N)C(=O)N[C@H](C(=O)NCC(=O)O)C(C)C	Umami	TastePeptidesDB
EN	NC(=O)C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
DA	C[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)O	Umami	TastePeptidesDB
DR	N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)O	Umami	TastePeptidesDB
CE	N[C@@H](CS)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
CM	CSCC[C@H](NC(=O)[C@@H](N)CS)C(=O)O	Umami	TastePeptidesDB
EK	NCCCC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
EP	N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O	Umami	TastePeptidesDB
EPE	N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
QP	NC(=O)CC[C@H](N)C(=O)N1CCC[C@H]1C(=O)O	Umami	TastePeptidesDB
VG	CC(C)[C@H](N)C(=O)NCC(=O)O	Umami	TastePeptidesDB
VGG	CC(C)[C@H](N)C(=O)NCC(=O)NCC(=O)O	Umami	TastePeptidesDB
VT	CC(C)[C@H](N)C(=O)N[C@H](C(=O)O)[C@@H](C)O	Umami	TastePeptidesDB
RGENESDEQGAIVT	CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)O)[C@@H](C)O)C(C)C	Umami	TastePeptidesDB
SFE	N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
LDL	CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(C)C)C(=O)O	Umami	TastePeptidesDB
DAG	C[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)NCC(=O)O	Umami	TastePeptidesDB
TGC	C[C@@H](O)[C@H](N)C(=O)NCC(=O)N[C@@H](CS)C(=O)O	Umami	TastePeptidesDB
RGENESEEEGAIVT	CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)O)[C@@H](C)O)C(C)C	Umami	TastePeptidesDB
TESSSE	C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
EDG	N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)O	Umami	TastePeptidesDB
DQR	N=C(N)NCCC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CC(=O)O)C(=O)O	Umami	TastePeptidesDB
NNP	NC(=O)C[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1CCC[C@H]1C(=O)O	Umami	TastePeptidesDB
EGF	N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O	Umami	TastePeptidesDB
LPEEV	CC(C)C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)O)C(C)C	Umami	TastePeptidesDB
AQALQAQA	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)O	Umami	TastePeptidesDB
EQQQQ	NC(=O)CC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
EAGIQ	CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)O	Umami	TastePeptidesDB
ENINEL	CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O	Umami	TastePeptidesDB
NVVGET	CC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)O)[C@@H](C)O	Umami	TastePeptidesDB
VRSY	CC(C)[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	TastePeptidesDB
LYER	CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	TastePeptidesDB
KGRYER	N=C(N)NCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)O	Umami	TastePeptidesDB
CCNKSV	CC(C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@@H](N)CS)C(=O)O	Umami	TastePeptidesDB
AHSVRFY	CC(C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	TastePeptidesDB
LGDVLVR	CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](N)CC(C)C)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C	Umami	TastePeptidesDB
AEASALR	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	TastePeptidesDB
WDDMEK	CSCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)O	Umami	TastePeptidesDB
EEL	CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
EEK	NCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
EDQK	NCCCC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
SEGGR	N=C(N)NCCC[C@H](NC(=O)CNC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CO)C(=O)O	Umami	TastePeptidesDB
QDSIGS	CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)C(=O)NCC(=O)N[C@@H](CO)C(=O)O	Umami	TastePeptidesDB
ESV	CC(C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
KGSLADEE	CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
GCG	NCC(=O)N[C@@H](CS)C(=O)NCC(=O)O	Umami	TastePeptidesDB
VF	CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	Umami	TastePeptidesDB
VPY	CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	TastePeptidesDB
TAY	C[C@H](NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	TastePeptidesDB
AAPY	C[C@H](N)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	Umami	TastePeptidesDB
PGD	O=C(O)C[C@H](NC(=O)CNC(=O)[C@@H]1CCCN1)C(=O)O	Umami	TastePeptidesDB
AAA	C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O	Umami	TastePeptidesDB
EMH	CSCC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O	Umami	TastePeptidesDB
QPS	NC(=O)CC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)O	Umami	TastePeptidesDB
VEH	CC(C)[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O	Umami	TastePeptidesDB
PSG	O=C(O)CNC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1	Umami	TastePeptidesDB
GGPG	NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)O	Umami	TastePeptidesDB
EV	CC(C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
PSE	O=C(O)CC[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1)C(=O)O	Umami	TastePeptidesDB
RKE	N=C(N)NCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
INEL	CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O	Umami	TastePeptidesDB
EQEEL	CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
QEEL	CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O	Umami	TastePeptidesDB
VVGET	CC(C)[C@H](N)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)O)[C@@H](C)O)C(C)C	Umami	TastePeptidesDB
LEQL	CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(C)C)C(=O)O	Umami	TastePeptidesDB
GRVSNCAA	CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O	Umami	TastePeptidesDB
SEEK	NCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CO)C(=O)O	Umami	TastePeptidesDB
KEMQKN	CSCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)O	Umami	TastePeptidesDB
KSAEN	C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)O	Umami	TastePeptidesDB
QIEELEGK	CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O	Umami	TastePeptidesDB
TDVEQEGD	CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)O	Umami	TastePeptidesDB
HNESQN	NC(=O)CC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](CC(N)=O)C(=O)O	Umami	TastePeptidesDB
RGEPNND	N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)O	Umami	TastePeptidesDB
TGDPEK	C[C@@H](O)[C@H](N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)O	Umami	TastePeptidesDB
KGGGGP	NCCCC[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)O	Umami	TastePeptidesDB
TYLPVH	CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O)C(C)C	Umami	TastePeptidesDB
PAATIPE	CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1)[C@@H](C)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
GPAGPAGPR	C[C@H](NC(=O)[C@@H]1CCCN1C(=O)CN)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	TastePeptidesDB
AGAGPTP	C[C@H](N)C(=O)NCC(=O)N[C@@H](C)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)O)[C@@H](C)O	Umami	TastePeptidesDB
GD	NCC(=O)N[C@@H](CC(=O)O)C(=O)O	Umami	TastePeptidesDB
AD	C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)O	Umami	TastePeptidesDB
VD	CC(C)[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)O	Umami	TastePeptidesDB
GE	NCC(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
AE	C[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
VE	CC(C)[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
LE	CC(C)C[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
EL	CC(C)C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
AFDEK	C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)O	Umami	TastePeptidesDB
CALTP	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CS)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)O)[C@@H](C)O	Umami	TastePeptidesDB
RPLGNC	CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CS)C(=O)O	Umami	TastePeptidesDB
INKPGL	CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O	Umami	TastePeptidesDB
SDSCIR	CC[C@H](C)[C@H](NC(=O)[C@H](CS)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	TastePeptidesDB
GPDPER	N=C(N)NCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)CN)C(=O)O	Umami	TastePeptidesDB
ADGLWL	CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N)C(=O)O	Umami	TastePeptidesDB
AGDDAPR	C[C@H](N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	TastePeptidesDB
GFLGPQ	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CN)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)O	Umami	TastePeptidesDB
HGEDKEGE	NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)O	Umami	TastePeptidesDB
IGPGLGR	CC[C@H](C)[C@H](N)C(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O	Umami	TastePeptidesDB
IPIPATKT	CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)CC	Umami	TastePeptidesDB
KDGGGGK	NCCCC[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CCCCN)C(=O)O	Umami	TastePeptidesDB
PGPAGPAGP	C[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H]1CCCN1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)O	Umami	TastePeptidesDB
